iteration,milestone,datasplit,mse
500,1,Train,0.01878228783607483
500,1,Validation,0.01854274608194828
1000,2,Train,0.016077177599072456
1000,2,Validation,0.015797976404428482
1500,3,Train,0.015295898541808128
1500,3,Validation,0.014749228022992611
2000,4,Train,0.014521505683660507
2000,4,Validation,0.014435465447604656
2500,5,Train,0.014209956862032413
2500,5,Validation,0.014349445700645447
3000,6,Train,0.014538700692355633
3000,6,Validation,0.014335635118186474
3500,7,Train,0.014461121521890163
3500,7,Validation,0.014299534261226654
4000,8,Train,0.014361686073243618
4000,8,Validation,0.014196854084730148
4500,9,Train,0.014180812053382397
4500,9,Validation,0.014142080210149288
5000,10,Train,0.014156895689666271
5000,10,Validation,0.014055084437131882
5500,11,Train,0.014227580279111862
5500,11,Validation,0.014074708335101604
6000,12,Train,0.014330928213894367
6000,12,Validation,0.014034202322363853
6500,13,Train,0.014123060740530491
6500,13,Validation,0.014004157856106758
7000,14,Train,0.014168436639010906
7000,14,Validation,0.013951169326901436
7500,15,Train,0.014145388267934322
7500,15,Validation,0.013951783068478107
8000,16,Train,0.014111153781414032
8000,16,Validation,0.013995237648487091
8500,17,Train,0.014053568243980408
8500,17,Validation,0.013986295089125633
9000,18,Train,0.014255295507609844
9000,18,Validation,0.01397255901247263
9500,19,Train,0.014194395393133163
9500,19,Validation,0.013945667073130608
10000,20,Train,0.014193134382367134
10000,20,Validation,0.013914570212364197
10500,21,Train,0.014103672467172146
10500,21,Validation,0.013876525685191154
11000,22,Train,0.013958513736724854
11000,22,Validation,0.013839039020240307
11500,23,Train,0.013878117315471172
11500,23,Validation,0.013773486018180847
12000,24,Train,0.013798689469695091
12000,24,Validation,0.013727459125220776
12500,25,Train,0.013977333903312683
12500,25,Validation,0.013679580762982368
13000,26,Train,0.01369570940732956
13000,26,Validation,0.013640775345265865
13500,27,Train,0.013829128816723824
13500,27,Validation,0.013599085621535778
14000,28,Train,0.013972542248666286
14000,28,Validation,0.01361552719026804
14500,29,Train,0.013770854100584984
14500,29,Validation,0.013710006140172482
15000,30,Train,0.01400730013847351
15000,30,Validation,0.013758058659732342
15500,31,Train,0.01384417712688446
15500,31,Validation,0.013776202686131
16000,32,Train,0.01404711976647377
16000,32,Validation,0.01379925012588501
16500,33,Train,0.013718134723603725
16500,33,Validation,0.013750004582107067
17000,34,Train,0.013476023450493813
17000,34,Validation,0.01362579595297575
17500,35,Train,0.01368155051022768
17500,35,Validation,0.01361094880849123
18000,36,Train,0.013847827911376953
18000,36,Validation,0.013613187707960606
18500,37,Train,0.013794498518109322
18500,37,Validation,0.013586308807134628
19000,38,Train,0.013746087439358234
19000,38,Validation,0.01356603018939495
19500,39,Train,0.013563903048634529
19500,39,Validation,0.013603432103991508
20000,40,Train,0.013721875846385956
20000,40,Validation,0.013544602319598198
20500,41,Train,0.013550274074077606
20500,41,Validation,0.013487391173839569
21000,42,Train,0.013624250888824463
21000,42,Validation,0.013465134426951408
21500,43,Train,0.013371268287301064
21500,43,Validation,0.01347129512578249
22000,44,Train,0.01373615674674511
22000,44,Validation,0.013477591797709465
22500,45,Train,0.013575166463851929
22500,45,Validation,0.013443436473608017
23000,46,Train,0.01338715199381113
23000,46,Validation,0.013417964801192284
23500,47,Train,0.01349054928869009
23500,47,Validation,0.013397594913840294
24000,48,Train,0.013686236925423145
24000,48,Validation,0.01338361669331789
24500,49,Train,0.013782206922769547
24500,49,Validation,0.013370689004659653
25000,50,Train,0.013504762202501297
25000,50,Validation,0.01335500180721283
25500,51,Train,0.013748361729085445
25500,51,Validation,0.013333909213542938
26000,52,Train,0.013430861756205559
26000,52,Validation,0.013312404975295067
26500,53,Train,0.013494879007339478
26500,53,Validation,0.013282745145261288
27000,54,Train,0.013300344347953796
27000,54,Validation,0.013242189772427082
27500,55,Train,0.013283607549965382
27500,55,Validation,0.013193456456065178
28000,56,Train,0.01311112754046917
28000,56,Validation,0.013149170204997063
28500,57,Train,0.01318016741424799
28500,57,Validation,0.01310060452669859
29000,58,Train,0.013519267551600933
29000,58,Validation,0.01308395154774189
29500,59,Train,0.013326916843652725
29500,59,Validation,0.0133280660957098
30000,60,Train,0.01488806214183569
30000,60,Validation,0.014790241606533527
30500,61,Train,0.01902737282216549
30500,61,Validation,0.01887189783155918
31000,62,Train,0.029734542593359947
31000,62,Validation,0.02906351536512375
31500,63,Train,0.018886476755142212
31500,63,Validation,0.01940012350678444
32000,64,Train,0.02084704302251339
32000,64,Validation,0.021061643958091736
32500,65,Train,0.017226137220859528
32500,65,Validation,0.017272278666496277
33000,66,Train,0.01996750384569168
33000,66,Validation,0.019606420770287514
33500,67,Train,0.017703959718346596
33500,67,Validation,0.017657160758972168
34000,68,Train,0.017275754362344742
34000,68,Validation,0.01723301410675049
34500,69,Train,0.01743232272565365
34500,69,Validation,0.017514346167445183
35000,70,Train,0.01618065871298313
35000,70,Validation,0.015977686271071434
35500,71,Train,0.016015905886888504
35500,71,Validation,0.015950772911310196
36000,72,Train,0.015125131234526634
36000,72,Validation,0.015113748610019684
36500,73,Train,0.015363569371402264
36500,73,Validation,0.015173499472439289
37000,74,Train,0.016063043847680092
37000,74,Validation,0.016219178214669228
37500,75,Train,0.015177327208220959
37500,75,Validation,0.015153972432017326
38000,76,Train,0.01479365210980177
38000,76,Validation,0.01448687445372343
38500,77,Train,0.013806834816932678
38500,77,Validation,0.013820772990584373
39000,78,Train,0.013800844550132751
39000,78,Validation,0.01340425480157137
39500,79,Train,0.01309262216091156
39500,79,Validation,0.0132698193192482
40000,80,Train,0.013137605041265488
40000,80,Validation,0.013223104178905487
40500,81,Train,0.013192450627684593
40500,81,Validation,0.013189318589866161
41000,82,Train,0.013210059143602848
41000,82,Validation,0.013154306448996067
41500,83,Train,0.013279907405376434
41500,83,Validation,0.013117777183651924
42000,84,Train,0.013393227010965347
42000,84,Validation,0.013141041621565819
42500,85,Train,0.013383407145738602
42500,85,Validation,0.013114306144416332
43000,86,Train,0.012976214289665222
43000,86,Validation,0.013074065558612347
43500,87,Train,0.01310958992689848
43500,87,Validation,0.013023322448134422
44000,88,Train,0.013103187084197998
44000,88,Validation,0.013032504357397556
44500,89,Train,0.013120933435857296
44500,89,Validation,0.013033486902713776
45000,90,Train,0.013237060979008675
45000,90,Validation,0.013025444000959396
45500,91,Train,0.012965436093509197
45500,91,Validation,0.013014774769544601
46000,92,Train,0.013171503320336342
46000,92,Validation,0.013044267892837524
46500,93,Train,0.013255619443953037
46500,93,Validation,0.01305394433438778
47000,94,Train,0.013048569671809673
47000,94,Validation,0.013061901554465294
47500,95,Train,0.013043506070971489
47500,95,Validation,0.013006682507693768
48000,96,Train,0.013180308975279331
48000,96,Validation,0.012999745085835457
48500,97,Train,0.012983168475329876
48500,97,Validation,0.012993689626455307
49000,98,Train,0.013423985801637173
49000,98,Validation,0.013010839931666851
49500,99,Train,0.012926461175084114
49500,99,Validation,0.013008547946810722
50000,100,Train,0.013134617358446121
50000,100,Validation,0.012959020212292671
50500,101,Train,0.013003511354327202
50500,101,Validation,0.012948425486683846
51000,102,Train,0.013049494475126266
51000,102,Validation,0.012960897758603096
51500,103,Train,0.012948708608746529
51500,103,Validation,0.012945925816893578
52000,104,Train,0.013223552145063877
52000,104,Validation,0.012921529822051525
52500,105,Train,0.012886226177215576
52500,105,Validation,0.01288131345063448
53000,106,Train,0.013033520430326462
53000,106,Validation,0.01291158702224493
53500,107,Train,0.012870495207607746
53500,107,Validation,0.012887437827885151
54000,108,Train,0.013022642582654953
54000,108,Validation,0.012887252494692802
54500,109,Train,0.012978277169167995
54500,109,Validation,0.012869607657194138
55000,110,Train,0.012841443531215191
55000,110,Validation,0.01288601104170084
55500,111,Train,0.01291249506175518
55500,111,Validation,0.012898835353553295
56000,112,Train,0.012898728251457214
56000,112,Validation,0.01288527250289917
56500,113,Train,0.01289492566138506
56500,113,Validation,0.012828548438847065
57000,114,Train,0.013141321018338203
57000,114,Validation,0.01275565754622221
