iteration,milestone,datasplit,mse
500,1,Train,2.374711036682129
500,1,Validation,2.37563157081604
1000,2,Train,1.9373838901519775
1000,2,Validation,1.9364473819732666
1500,3,Train,1.5970406532287598
1500,3,Validation,1.594681739807129
2000,4,Train,1.3223135471343994
2000,4,Validation,1.3252664804458618
2500,5,Train,1.0989454984664917
2500,5,Validation,1.0921975374221802
3000,6,Train,0.8751599192619324
3000,6,Validation,0.8761610984802246
3500,7,Train,0.6405819654464722
3500,7,Validation,0.6465303897857666
4000,8,Train,0.41896575689315796
4000,8,Validation,0.4186326861381531
4500,9,Train,0.22154323756694794
4500,9,Validation,0.21369341015815735
5000,10,Train,0.0823107436299324
5000,10,Validation,0.08189300447702408
5500,11,Train,0.036232102662324905
5500,11,Validation,0.035155341029167175
6000,12,Train,0.021462079137563705
6000,12,Validation,0.02138417959213257
6500,13,Train,0.01595020294189453
6500,13,Validation,0.015776123851537704
7000,14,Train,0.013174714520573616
7000,14,Validation,0.013065533712506294
7500,15,Train,0.011688531376421452
7500,15,Validation,0.011613362468779087
8000,16,Train,0.010872367769479752
8000,16,Validation,0.010827253572642803
8500,17,Train,0.010387335903942585
8500,17,Validation,0.010333123616874218
9000,18,Train,0.010251590050756931
9000,18,Validation,0.010067496448755264
9500,19,Train,0.010063635185360909
9500,19,Validation,0.009898142889142036
10000,20,Train,0.009991402737796307
10000,20,Validation,0.009786941111087799
10500,21,Train,0.009902690537273884
10500,21,Validation,0.009721122682094574
11000,22,Train,0.009767537005245686
11000,22,Validation,0.009672512300312519
11500,23,Train,0.00974532775580883
11500,23,Validation,0.0096467025578022
12000,24,Train,0.009695982560515404
12000,24,Validation,0.009628834202885628
12500,25,Train,0.009814971126616001
12500,25,Validation,0.009620986878871918
13000,26,Train,0.009593725204467773
13000,26,Validation,0.009609435684978962
13500,27,Train,0.009741093963384628
13500,27,Validation,0.009594513103365898
14000,28,Train,0.00990369077771902
14000,28,Validation,0.009595168754458427
14500,29,Train,0.00963310431689024
14500,29,Validation,0.009588760323822498
15000,30,Train,0.00973809976130724
15000,30,Validation,0.009580032899975777
15500,31,Train,0.009634135290980339
15500,31,Validation,0.009573198854923248
16000,32,Train,0.009793153963983059
16000,32,Validation,0.009566054679453373
16500,33,Train,0.00959784910082817
16500,33,Validation,0.009567192755639553
17000,34,Train,0.009475129656493664
17000,34,Validation,0.009560597129166126
17500,35,Train,0.009613903239369392
17500,35,Validation,0.009563974104821682
18000,36,Train,0.009792354889214039
18000,36,Validation,0.009556013159453869
18500,37,Train,0.009681126102805138
18500,37,Validation,0.009554206393659115
19000,38,Train,0.009675746783614159
19000,38,Validation,0.009552564471960068
19500,39,Train,0.009558042511343956
19500,39,Validation,0.009555505588650703
20000,40,Train,0.009689046069979668
20000,40,Validation,0.009555735625326633
20500,41,Train,0.009619313292205334
20500,41,Validation,0.009558160789310932
21000,42,Train,0.009656745009124279
21000,42,Validation,0.009560891427099705
21500,43,Train,0.00951920822262764
21500,43,Validation,0.009560287930071354
22000,44,Train,0.009739462286233902
22000,44,Validation,0.009563440456986427
22500,45,Train,0.009739990346133709
22500,45,Validation,0.009562547318637371
23000,46,Train,0.009540464729070663
23000,46,Validation,0.009560772217810154
23500,47,Train,0.009574893862009048
23500,47,Validation,0.009561107493937016
24000,48,Train,0.009725967422127724
24000,48,Validation,0.00956118293106556
24500,49,Train,0.009819542989134789
24500,49,Validation,0.009565838612616062
25000,50,Train,0.009691322222352028
25000,50,Validation,0.00956047885119915
25500,51,Train,0.009791919961571693
25500,51,Validation,0.009561627171933651
26000,52,Train,0.009616189636290073
26000,52,Validation,0.00955395121127367
26500,53,Train,0.009657985530793667
26500,53,Validation,0.00955506507307291
27000,54,Train,0.009568184614181519
27000,54,Validation,0.009549909271299839
27500,55,Train,0.009620127268135548
27500,55,Validation,0.009551874361932278
28000,56,Train,0.00955651793628931
28000,56,Validation,0.00955114234238863
28500,57,Train,0.009588605724275112
28500,57,Validation,0.009554960764944553
29000,58,Train,0.00980429444462061
29000,58,Validation,0.0095549076795578
29500,59,Train,0.009547623805701733
29500,59,Validation,0.009553846903145313
30000,60,Train,0.009644821286201477
30000,60,Validation,0.009550288319587708
30500,61,Train,0.009644096717238426
30500,61,Validation,0.009553392417728901
31000,62,Train,0.009778457693755627
31000,62,Validation,0.00955035537481308
31500,63,Train,0.009489656426012516
31500,63,Validation,0.009549316950142384
32000,64,Train,0.009512417018413544
32000,64,Validation,0.009544405154883862
32500,65,Train,0.00950461346656084
32500,65,Validation,0.009539533406496048
33000,66,Train,0.00977466069161892
33000,66,Validation,0.009539702907204628
33500,67,Train,0.009578789584338665
33500,67,Validation,0.009542427957057953
34000,68,Train,0.00953482836484909
34000,68,Validation,0.009542882442474365
34500,69,Train,0.009559446014463902
34500,69,Validation,0.00954402331262827
35000,70,Train,0.009648154489696026
35000,70,Validation,0.009545763023197651
35500,71,Train,0.009564056992530823
35500,71,Validation,0.009543833322823048
36000,72,Train,0.009567227214574814
36000,72,Validation,0.009545428678393364
36500,73,Train,0.00955219753086567
36500,73,Validation,0.009537468664348125
37000,74,Train,0.009522225707769394
37000,74,Validation,0.00953935831785202
37500,75,Train,0.009617291390895844
37500,75,Validation,0.009538655169308186
38000,76,Train,0.009754504077136517
38000,76,Validation,0.009536707773804665
38500,77,Train,0.009657099843025208
38500,77,Validation,0.009537295438349247
39000,78,Train,0.009877328760921955
39000,78,Validation,0.009540436789393425
39500,79,Train,0.009535297751426697
39500,79,Validation,0.009539684280753136
40000,80,Train,0.009475544095039368
40000,80,Validation,0.009554499760270119
40500,81,Train,0.009580233134329319
40500,81,Validation,0.009559025056660175
41000,82,Train,0.009569784626364708
41000,82,Validation,0.009548136964440346
41500,83,Train,0.009673102758824825
41500,83,Validation,0.009570099413394928
42000,84,Train,0.009694441221654415
42000,84,Validation,0.009565087035298347
42500,85,Train,0.00973515398800373
42500,85,Validation,0.009558496065437794
43000,86,Train,0.009520328603684902
43000,86,Validation,0.009556137956678867
43500,87,Train,0.009672978892922401
43500,87,Validation,0.00955065805464983
44000,88,Train,0.009571322239935398
44000,88,Validation,0.009545224718749523
44500,89,Train,0.009683887474238873
44500,89,Validation,0.009545678272843361
45000,90,Train,0.009735618717968464
45000,90,Validation,0.009551648050546646
45500,91,Train,0.009579806588590145
45500,91,Validation,0.00956129003316164
46000,92,Train,0.009679639711976051
46000,92,Validation,0.009563461877405643
46500,93,Train,0.009790142066776752
46500,93,Validation,0.00957175251096487
47000,94,Train,0.009640110656619072
47000,94,Validation,0.00957276951521635
47500,95,Train,0.00959609355777502
47500,95,Validation,0.009578706696629524
48000,96,Train,0.009753972291946411
48000,96,Validation,0.009579528123140335
48500,97,Train,0.009624694474041462
48500,97,Validation,0.009580345824360847
49000,98,Train,0.009870503097772598
49000,98,Validation,0.009580027312040329
49500,99,Train,0.009558374062180519
49500,99,Validation,0.00958757009357214
50000,100,Train,0.009657057002186775
50000,100,Validation,0.009603953920304775
50500,101,Train,0.009580932557582855
50500,101,Validation,0.009607282467186451
51000,102,Train,0.00966708268970251
51000,102,Validation,0.009604251012206078
51500,103,Train,0.009680164977908134
51500,103,Validation,0.009606199339032173
52000,104,Train,0.009851261973381042
52000,104,Validation,0.00960622914135456
52500,105,Train,0.00968906469643116
52500,105,Validation,0.009611612185835838
53000,106,Train,0.009715324267745018
53000,106,Validation,0.009618418291211128
53500,107,Train,0.009674308821558952
53500,107,Validation,0.009626433253288269
54000,108,Train,0.009710130281746387
54000,108,Validation,0.009628851898014545
54500,109,Train,0.009697819128632545
54500,109,Validation,0.009631119668483734
55000,110,Train,0.009606250561773777
55000,110,Validation,0.009633705019950867
55500,111,Train,0.00974209699779749
