iteration,milestone,datasplit,mse
500,1,Train,2.5386531352996826
500,1,Validation,2.5507307052612305
1000,2,Train,2.1607742309570312
1000,2,Validation,2.1663403511047363
1500,3,Train,1.8334746360778809
1500,3,Validation,1.8232122659683228
2000,4,Train,1.5395814180374146
2000,4,Validation,1.5329188108444214
2500,5,Train,1.2724484205245972
2500,5,Validation,1.2697060108184814
3000,6,Train,1.0053718090057373
3000,6,Validation,1.0063735246658325
3500,7,Train,0.7121634483337402
3500,7,Validation,0.7097163200378418
4000,8,Train,0.4585159718990326
4000,8,Validation,0.45295894145965576
4500,9,Train,0.3331966996192932
4500,9,Validation,0.33020031452178955
5000,10,Train,0.28091976046562195
5000,10,Validation,0.27942466735839844
5500,11,Train,0.25827494263648987
5500,11,Validation,0.25389164686203003
6000,12,Train,0.24150919914245605
6000,12,Validation,0.2389620691537857
6500,13,Train,0.23068994283676147
6500,13,Validation,0.2288161665201187
7000,14,Train,0.22662745416164398
7000,14,Validation,0.2209051102399826
7500,15,Train,0.21347706019878387
7500,15,Validation,0.21443629264831543
8000,16,Train,0.20914898812770844
8000,16,Validation,0.20883606374263763
8500,17,Train,0.20574966073036194
8500,17,Validation,0.20408128201961517
9000,18,Train,0.20600654184818268
9000,18,Validation,0.20024912059307098
9500,19,Train,0.20192073285579681
9500,19,Validation,0.19831933081150055
10000,20,Train,0.20533129572868347
10000,20,Validation,0.1979731023311615
10500,21,Train,0.2050495743751526
10500,21,Validation,0.19959568977355957
11000,22,Train,0.20588980615139008
11000,22,Validation,0.20287492871284485
11500,23,Train,0.2084464281797409
11500,23,Validation,0.20579113066196442
12000,24,Train,0.21421511471271515
12000,24,Validation,0.20782189071178436
12500,25,Train,0.21314294636249542
12500,25,Validation,0.20865952968597412
13000,26,Train,0.2101649045944214
13000,26,Validation,0.20959100127220154
13500,27,Train,0.21154356002807617
13500,27,Validation,0.2065662145614624
14000,28,Train,0.21632803976535797
14000,28,Validation,0.20515176653862
14500,29,Train,0.20575359463691711
14500,29,Validation,0.2026476114988327
15000,30,Train,0.20506106317043304
15000,30,Validation,0.20258037745952606
15500,31,Train,0.20631539821624756
15500,31,Validation,0.20459726452827454
16000,32,Train,0.20997881889343262
16000,32,Validation,0.20422619581222534
16500,33,Train,0.2034427970647812
16500,33,Validation,0.20228146016597748
17000,34,Train,0.19910329580307007
17000,34,Validation,0.20097875595092773
17500,35,Train,0.20264586806297302
