iteration,milestone,datasplit,mse
500,1,Train,0.7494757771492004
500,1,Validation,0.7534095048904419
1000,2,Train,0.914729118347168
1000,2,Validation,0.9169723391532898
1500,3,Train,1.1140857934951782
1500,3,Validation,1.1131293773651123
2000,4,Train,1.283759593963623
2000,4,Validation,1.2774314880371094
2500,5,Train,0.8378762602806091
2500,5,Validation,0.8308478593826294
3000,6,Train,0.4165463149547577
3000,6,Validation,0.40697553753852844
3500,7,Train,0.2139294445514679
3500,7,Validation,0.21152877807617188
4000,8,Train,0.1259634792804718
4000,8,Validation,0.12449562549591064
4500,9,Train,0.07990671694278717
4500,9,Validation,0.07993859797716141
5000,10,Train,0.06486466526985168
5000,10,Validation,0.06513799726963043
5500,11,Train,0.05888908728957176
5500,11,Validation,0.059101350605487823
6000,12,Train,0.05632462352514267
6000,12,Validation,0.055661581456661224
6500,13,Train,0.05266915261745453
6500,13,Validation,0.05256667733192444
7000,14,Train,0.04990332946181297
7000,14,Validation,0.04956921935081482
7500,15,Train,0.047663602977991104
7500,15,Validation,0.0477471686899662
8000,16,Train,0.047369569540023804
8000,16,Validation,0.0470723994076252
8500,17,Train,0.04720233008265495
8500,17,Validation,0.047040920704603195
9000,18,Train,0.04851379245519638
9000,18,Validation,0.04841392859816551
9500,19,Train,0.05073221027851105
9500,19,Validation,0.05062359198927879
10000,20,Train,0.05308090150356293
10000,20,Validation,0.05306098237633705
10500,21,Train,0.05471936613321304
10500,21,Validation,0.05450883507728577
11000,22,Train,0.05532526969909668
11000,22,Validation,0.05529206246137619
11500,23,Train,0.055452995002269745
11500,23,Validation,0.055633578449487686
12000,24,Train,0.05533690005540848
12000,24,Validation,0.05551820620894432
12500,25,Train,0.0546303354203701
12500,25,Validation,0.05476531386375427
13000,26,Train,0.0539981909096241
13000,26,Validation,0.054090749472379684
13500,27,Train,0.05408880114555359
13500,27,Validation,0.05412834510207176
14000,28,Train,0.054213378578424454
14000,28,Validation,0.05417298898100853
14500,29,Train,0.05371515452861786
14500,29,Validation,0.053571801632642746
15000,30,Train,0.05423853173851967
15000,30,Validation,0.05405662953853607
15500,31,Train,0.05347064509987831
15500,31,Validation,0.053625497967004776
16000,32,Train,0.05346198379993439
16000,32,Validation,0.05345836281776428
16500,33,Train,0.052624866366386414
16500,33,Validation,0.05254560336470604
17000,34,Train,0.05148162692785263
17000,34,Validation,0.051355164498090744
17500,35,Train,0.04905328527092934
17500,35,Validation,0.04907676950097084
18000,36,Train,0.04116269201040268
18000,36,Validation,0.040925782173871994
18500,37,Train,0.04099953919649124
18500,37,Validation,0.04078523814678192
19000,38,Train,0.04020637273788452
19000,38,Validation,0.040486354380846024
19500,39,Train,0.03950539976358414
19500,39,Validation,0.03955955430865288
20000,40,Train,0.040148429572582245
20000,40,Validation,0.039925333112478256
20500,41,Train,0.0408446341753006
20500,41,Validation,0.04079218953847885
21000,42,Train,0.04100266471505165
21000,42,Validation,0.04093177244067192
21500,43,Train,0.04087580740451813
21500,43,Validation,0.040956586599349976
22000,44,Train,0.04130673408508301
22000,44,Validation,0.04125843569636345
22500,45,Train,0.04250773414969444
22500,45,Validation,0.042313020676374435
23000,46,Train,0.04415891692042351
23000,46,Validation,0.04409754276275635
23500,47,Train,0.04465736821293831
23500,47,Validation,0.04469628259539604
24000,48,Train,0.04528720676898956
24000,48,Validation,0.045209091156721115
24500,49,Train,0.04577548801898956
24500,49,Validation,0.04565075412392616
25000,50,Train,0.04662613198161125
25000,50,Validation,0.04636863246560097
25500,51,Train,0.047060277312994
25500,51,Validation,0.046845145523548126
26000,52,Train,0.04728714004158974
26000,52,Validation,0.047366343438625336
26500,53,Train,0.04660039022564888
26500,53,Validation,0.04646835848689079
27000,54,Train,0.04605673626065254
27000,54,Validation,0.04618057981133461
27500,55,Train,0.04668594151735306
27500,55,Validation,0.047002971172332764
28000,56,Train,0.048005908727645874
28000,56,Validation,0.04806062951683998
28500,57,Train,0.04871828481554985
28500,57,Validation,0.04880586266517639
29000,58,Train,0.04818766564130783
29000,58,Validation,0.048041146248579025
29500,59,Train,0.047308243811130524
29500,59,Validation,0.047278713434934616
30000,60,Train,0.04630162939429283
30000,60,Validation,0.046338219195604324
30500,61,Train,0.046056680381298065
30500,61,Validation,0.04590277001261711
31000,62,Train,0.04731817543506622
31000,62,Validation,0.04748863726854324
31500,63,Train,0.05619093403220177
31500,63,Validation,0.0564068965613842
32000,64,Train,0.05415525659918785
32000,64,Validation,0.05424278602004051
32500,65,Train,0.054813187569379807
32500,65,Validation,0.054788123816251755
33000,66,Train,0.05419447645545006
33000,66,Validation,0.05418345704674721
33500,67,Train,0.05353829264640808
33500,67,Validation,0.053460557013750076
34000,68,Train,0.05235694721341133
34000,68,Validation,0.05251773074269295
34500,69,Train,0.05190586298704147
34500,69,Validation,0.05192868039011955
35000,70,Train,0.05187583714723587
35000,70,Validation,0.051722824573516846
35500,71,Train,0.051338523626327515
35500,71,Validation,0.05129936710000038
36000,72,Train,0.050681937485933304
36000,72,Validation,0.050963111221790314
36500,73,Train,0.05057942122220993
36500,73,Validation,0.050647031515836716
37000,74,Train,0.04994598403573036
37000,74,Validation,0.049979567527770996
37500,75,Train,0.04996302351355553
37500,75,Validation,0.050185929983854294
38000,76,Train,0.05039611831307411
38000,76,Validation,0.049921128898859024
38500,77,Train,0.049068793654441833
38500,77,Validation,0.04905286803841591
39000,78,Train,0.04888875037431717
39000,78,Validation,0.048618774861097336
39500,79,Train,0.04794999957084656
39500,79,Validation,0.047968193888664246
40000,80,Train,0.047126684337854385
40000,80,Validation,0.04714953526854515
40500,81,Train,0.046749163419008255
40500,81,Validation,0.04661122336983681
41000,82,Train,0.04626422002911568
41000,82,Validation,0.04634196683764458
41500,83,Train,0.046186428517103195
41500,83,Validation,0.04575899615883827
42000,84,Train,0.04576627537608147
42000,84,Validation,0.0454508438706398
42500,85,Train,0.04574333876371384
42500,85,Validation,0.04536030814051628
43000,86,Train,0.045663535594940186
43000,86,Validation,0.0458492711186409
43500,87,Train,0.045151300728321075
43500,87,Validation,0.045434970408678055
44000,88,Train,0.045835305005311966
44000,88,Validation,0.04573105648159981
44500,89,Train,0.04550804942846298
44500,89,Validation,0.045178867876529694
45000,90,Train,0.04514790326356888
45000,90,Validation,0.04523443803191185
45500,91,Train,0.04430229216814041
45500,91,Validation,0.04469631239771843
46000,92,Train,0.044407833367586136
46000,92,Validation,0.044825781136751175
46500,93,Train,0.045165643095970154
46500,93,Validation,0.045303281396627426
47000,94,Train,0.04464440792798996
47000,94,Validation,0.044620662927627563
47500,95,Train,0.04402104392647743
47500,95,Validation,0.04420145973563194
48000,96,Train,0.04526543617248535
48000,96,Validation,0.04452246427536011
48500,97,Train,0.04351150244474411
48500,97,Validation,0.04516202211380005
49000,98,Train,0.04698307812213898
49000,98,Validation,0.04617588222026825
49500,99,Train,0.05084960162639618
49500,99,Validation,0.04680202528834343
50000,100,Train,0.046739451587200165
50000,100,Validation,0.04783950373530388
50500,101,Train,0.04885207116603851
