iteration,milestone,datasplit,mse
1,1,Train,3.441317081451416
1,1,Validation,3.448667049407959
2,2,Train,3.437718391418457
2,2,Validation,3.4496076107025146
3,3,Train,3.4352569580078125
3,3,Validation,3.448169469833374
4,4,Train,3.4391963481903076
4,4,Validation,3.449084758758545
5,5,Train,3.430431842803955
5,5,Validation,3.4478976726531982
6,6,Train,3.4360318183898926
6,6,Validation,3.448770046234131
7,7,Train,3.438321828842163
7,7,Validation,3.4489407539367676
8,8,Train,3.4336047172546387
8,8,Validation,3.448704957962036
9,9,Train,3.4564058780670166
9,9,Validation,3.44789457321167
10,10,Train,3.4573755264282227
10,10,Validation,3.448596477508545
11,11,Train,3.529935121536255
11,11,Validation,3.5318143367767334
12,12,Train,3.531536817550659
12,12,Validation,3.53173565864563
13,13,Train,3.530120372772217
13,13,Validation,3.531705141067505
14,14,Train,3.531630277633667
14,14,Validation,3.531571865081787
15,15,Train,3.53139066696167
15,15,Validation,3.531721830368042
16,16,Train,3.5314700603485107
16,16,Validation,3.5317564010620117
17,17,Train,3.5312602519989014
17,17,Validation,3.5318470001220703
18,18,Train,3.530839443206787
18,18,Validation,3.5318000316619873
19,19,Train,3.5313594341278076
19,19,Validation,3.5317130088806152
20,20,Train,3.530930757522583
20,20,Validation,3.5317203998565674
21,21,Train,3.0638928413391113
21,21,Validation,3.067000150680542
22,22,Train,3.064250946044922
22,22,Validation,3.0670406818389893
23,23,Train,3.063924789428711
23,23,Validation,3.0670506954193115
24,24,Train,3.0639805793762207
24,24,Validation,3.066988706588745
25,25,Train,3.0690126419067383
25,25,Validation,3.067000150680542
26,26,Train,3.068289041519165
26,26,Validation,3.067176103591919
27,27,Train,3.0689120292663574
27,27,Validation,3.067052125930786
28,28,Train,3.0687413215637207
28,28,Validation,3.067145586013794
29,29,Train,3.0686371326446533
29,29,Validation,3.0670957565307617
30,30,Train,3.0682713985443115
30,30,Validation,3.0669853687286377
31,31,Train,2.887207508087158
31,31,Validation,2.8777260780334473
32,32,Train,2.88735032081604
32,32,Validation,2.877638816833496
33,33,Train,2.87713360786438
33,33,Validation,2.8777647018432617
34,34,Train,2.877087354660034
34,34,Validation,2.8777079582214355
35,35,Train,2.877750873565674
35,35,Validation,2.8776607513427734
36,36,Train,2.8778069019317627
36,36,Validation,2.877725124359131
37,37,Train,2.8773229122161865
37,37,Validation,2.8776607513427734
38,38,Train,2.876986026763916
38,38,Validation,2.877643585205078
39,39,Train,2.877300977706909
39,39,Validation,2.877753734588623
40,40,Train,2.8769867420196533
40,40,Validation,2.877681255340576
41,41,Train,2.7937262058258057
41,41,Validation,2.798036575317383
42,42,Train,2.7935752868652344
42,42,Validation,2.7981185913085938
43,43,Train,2.79351544380188
43,43,Validation,2.797976016998291
44,44,Train,2.793778657913208
44,44,Validation,2.798105239868164
45,45,Train,2.793318510055542
45,45,Validation,2.7981178760528564
46,46,Train,2.793333053588867
46,46,Validation,2.798093795776367
47,47,Train,2.7937941551208496
47,47,Validation,2.7981739044189453
48,48,Train,2.793933391571045
48,48,Validation,2.798168897628784
49,49,Train,2.801748037338257
49,49,Validation,2.798107385635376
50,50,Train,2.8018710613250732
50,50,Validation,2.7981255054473877
51,51,Train,2.7679905891418457
51,51,Validation,2.7718002796173096
52,52,Train,2.7679836750030518
52,52,Validation,2.771775484085083
53,53,Train,2.7680177688598633
53,53,Validation,2.7717807292938232
54,54,Train,2.7680811882019043
54,54,Validation,2.7718703746795654
55,55,Train,2.76796817779541
55,55,Validation,2.7718422412872314
56,56,Train,2.7681188583374023
56,56,Validation,2.7717764377593994
57,57,Train,2.7717621326446533
57,57,Validation,2.771862030029297
58,58,Train,2.771401882171631
