iteration,milestone,datasplit,mse
1,1,Train,2.919543743133545
1,1,Validation,2.918245315551758
2,2,Train,2.9154045581817627
2,2,Validation,2.9185636043548584
3,3,Train,2.911936044692993
3,3,Validation,2.9187400341033936
4,4,Train,2.9132888317108154
4,4,Validation,2.9186618328094482
5,5,Train,2.9104692935943604
5,5,Validation,2.9184470176696777
6,6,Train,2.9164235591888428
6,6,Validation,2.9186642169952393
7,7,Train,2.9138970375061035
7,7,Validation,2.9167377948760986
8,8,Train,2.915283441543579
8,8,Validation,2.917649030685425
9,9,Train,2.9125187397003174
9,9,Validation,2.9187169075012207
10,10,Train,2.9088499546051025
10,10,Validation,2.9191954135894775
11,11,Train,3.6157469749450684
11,11,Validation,3.619597911834717
12,12,Train,3.6169326305389404
12,12,Validation,3.6194941997528076
13,13,Train,3.6195967197418213
13,13,Validation,3.619353771209717
14,14,Train,3.6179606914520264
14,14,Validation,3.62054443359375
15,15,Train,3.617960214614868
15,15,Validation,3.618906021118164
16,16,Train,3.6138885021209717
16,16,Validation,3.619649887084961
17,17,Train,3.6194241046905518
17,17,Validation,3.6192829608917236
18,18,Train,3.6160857677459717
18,18,Validation,3.6199140548706055
19,19,Train,3.619858741760254
19,19,Validation,3.6197826862335205
20,20,Train,3.619959592819214
20,20,Validation,3.6197943687438965
21,21,Train,3.3912904262542725
21,21,Validation,3.3958709239959717
22,22,Train,3.391791820526123
22,22,Validation,3.3956687450408936
23,23,Train,3.3919591903686523
23,23,Validation,3.395671844482422
24,24,Train,3.391657590866089
24,24,Validation,3.3956198692321777
25,25,Train,3.38488507270813
25,25,Validation,3.3957107067108154
26,26,Train,3.3849761486053467
26,26,Validation,3.3958308696746826
27,27,Train,3.3839476108551025
27,27,Validation,3.3956878185272217
28,28,Train,3.3851094245910645
28,28,Validation,3.3956480026245117
29,29,Train,3.385552406311035
29,29,Validation,3.3956549167633057
30,30,Train,3.3847880363464355
30,30,Validation,3.3958144187927246
31,31,Train,2.0357813835144043
31,31,Validation,2.039659023284912
32,32,Train,2.035775661468506
32,32,Validation,2.039653778076172
33,33,Train,2.0259389877319336
33,33,Validation,2.039651393890381
34,34,Train,2.025921106338501
34,34,Validation,2.0396530628204346
35,35,Train,2.025911808013916
35,35,Validation,2.0396573543548584
36,36,Train,2.0259172916412354
36,36,Validation,2.039666175842285
37,37,Train,2.0259079933166504
37,37,Validation,2.0396535396575928
38,38,Train,2.02588152885437
38,38,Validation,2.0396549701690674
39,39,Train,2.0258984565734863
39,39,Validation,2.0396571159362793
40,40,Train,2.025938034057617
40,40,Validation,2.0396506786346436
41,41,Train,1.2584950923919678
41,41,Validation,1.2407042980194092
42,42,Train,1.2584950923919678
42,42,Validation,1.2407041788101196
43,43,Train,1.2584950923919678
43,43,Validation,1.2407042980194092
44,44,Train,1.2584950923919678
44,44,Validation,1.2407041788101196
45,45,Train,1.2584950923919678
45,45,Validation,1.2407041788101196
46,46,Train,1.2584950923919678
46,46,Validation,1.2407041788101196
47,47,Train,1.2584950923919678
47,47,Validation,1.2407041788101196
48,48,Train,1.2584952116012573
48,48,Validation,1.2407042980194092
49,49,Train,1.2339632511138916
49,49,Validation,1.2407042980194092
50,50,Train,1.2339632511138916
50,50,Validation,1.2407041788101196
51,51,Train,0.32623571157455444
51,51,Validation,0.3462257385253906
52,52,Train,0.32623571157455444
52,52,Validation,0.3462257385253906
53,53,Train,0.32623571157455444
53,53,Validation,0.3462257385253906
54,54,Train,0.32623571157455444
54,54,Validation,0.3462257385253906
55,55,Train,0.32623571157455444
55,55,Validation,0.3462257385253906
56,56,Train,0.32623571157455444
56,56,Validation,0.3462257385253906
57,57,Train,0.34559452533721924
57,57,Validation,0.3462257385253906
58,58,Train,0.34559446573257446
58,58,Validation,0.3462257385253906
59,59,Train,0.34559446573257446
59,59,Validation,0.3462257385253906
60,60,Train,0.34559446573257446
60,60,Validation,0.3462257385253906
61,61,Train,0.24880793690681458
61,61,Validation,0.254788875579834
62,62,Train,0.24880793690681458
62,62,Validation,0.254788875579834
63,63,Train,0.24880795180797577
63,63,Validation,0.254788875579834
64,64,Train,0.24880793690681458
64,64,Validation,0.254788875579834
65,65,Train,0.26164209842681885
65,65,Validation,0.254788875579834
66,66,Train,0.26164212822914124
66,66,Validation,0.254788875579834
67,67,Train,0.26164212822914124
67,67,Validation,0.254788875579834
68,68,Train,0.26164212822914124
68,68,Validation,0.254788875579834
69,69,Train,0.26164209842681885
69,69,Validation,0.254788875579834
70,70,Train,0.26164209842681885
70,70,Validation,0.254788875579834
71,71,Train,0.22043758630752563
71,71,Validation,0.22510626912117004
72,72,Train,0.22043758630752563
72,72,Validation,0.22510626912117004
73,73,Train,0.22532612085342407
73,73,Validation,0.22510626912117004
74,74,Train,0.22532612085342407
74,74,Validation,0.22510626912117004
75,75,Train,0.22532612085342407
75,75,Validation,0.22510626912117004
76,76,Train,0.22532609105110168
76,76,Validation,0.22510626912117004
77,77,Train,0.22532612085342407
77,77,Validation,0.22510626912117004
78,78,Train,0.22532612085342407
78,78,Validation,0.22510626912117004
79,79,Train,0.22532612085342407
79,79,Validation,0.22510626912117004
80,80,Train,0.22532612085342407
80,80,Validation,0.22510626912117004
81,81,Train,0.14543212950229645
81,81,Validation,0.14700207114219666
