iteration,milestone,datasplit,mse
100,1,Train,0.14358113706111908
100,1,Validation,0.1395207941532135
200,2,Train,0.05861722677946091
200,2,Validation,0.05948568135499954
300,3,Train,0.04316814988851547
300,3,Validation,0.04490778595209122
400,4,Train,0.03773307800292969
400,4,Validation,0.03811950236558914
500,5,Train,0.031214717775583267
500,5,Validation,0.03167415037751198
600,6,Train,0.0288371741771698
600,6,Validation,0.028474992141127586
700,7,Train,0.025621091946959496
700,7,Validation,0.025960586965084076
800,8,Train,0.02329576388001442
800,8,Validation,0.023082034662365913
900,9,Train,0.02151479758322239
900,9,Validation,0.021409740671515465
1000,10,Train,0.020212901756167412
1000,10,Validation,0.0200948528945446
1100,11,Train,0.01981702819466591
1100,11,Validation,0.019248999655246735
1200,12,Train,0.018678318709135056
1200,12,Validation,0.018560737371444702
1300,13,Train,0.018326016142964363
1300,13,Validation,0.017997369170188904
1400,14,Train,0.017365066334605217
1400,14,Validation,0.017569849267601967
1500,15,Train,0.017995376139879227
1500,15,Validation,0.017361745238304138
1600,16,Train,0.01741175912320614
1600,16,Validation,0.017240913584828377
1700,17,Train,0.017257317900657654
1700,17,Validation,0.01722402125597
1800,18,Train,0.017573010176420212
1800,18,Validation,0.01722852699458599
1900,19,Train,0.01751255802810192
1900,19,Validation,0.017236702144145966
2000,20,Train,0.017248524352908134
2000,20,Validation,0.017271989956498146
2100,21,Train,0.018041249364614487
2100,21,Validation,0.017580894753336906
2200,22,Train,0.017719123512506485
2200,22,Validation,0.017742820084095
2300,23,Train,0.017489170655608177
2300,23,Validation,0.017659777775406837
2400,24,Train,0.018164290115237236
2400,24,Validation,0.01773962192237377
2500,25,Train,0.0174714345484972
2500,25,Validation,0.017650006338953972
2600,26,Train,0.01766074448823929
2600,26,Validation,0.017687169834971428
2700,27,Train,0.017736468464136124
2700,27,Validation,0.017611676827073097
2800,28,Train,0.017759401351213455
2800,28,Validation,0.017605962231755257
2900,29,Train,0.01774776726961136
2900,29,Validation,0.01748022809624672
3000,30,Train,0.017619574442505836
3000,30,Validation,0.017467577010393143
3100,31,Train,0.01757894642651081
3100,31,Validation,0.01742750033736229
3200,32,Train,0.017486734315752983
3200,32,Validation,0.017323922365903854
3300,33,Train,0.017458269372582436
3300,33,Validation,0.017149388790130615
3400,34,Train,0.017522288486361504
3400,34,Validation,0.017111465334892273
3500,35,Train,0.01731318049132824
3500,35,Validation,0.017222031950950623
3600,36,Train,0.017019309103488922
3600,36,Validation,0.01709764637053013
3700,37,Train,0.01723586767911911
3700,37,Validation,0.016953714191913605
3800,38,Train,0.01669791154563427
3800,38,Validation,0.016767580062150955
3900,39,Train,0.016603872179985046
3900,39,Validation,0.016566038131713867
4000,40,Train,0.016467154026031494
4000,40,Validation,0.01636720634996891
4100,41,Train,0.01626686006784439
4100,41,Validation,0.016237827017903328
4200,42,Train,0.016167717054486275
4200,42,Validation,0.016104022040963173
4300,43,Train,0.015812229365110397
4300,43,Validation,0.01598210074007511
