iteration,milestone,datasplit,mse
100,1,Train,0.13958092033863068
100,1,Validation,0.13701409101486206
200,2,Train,0.0821370780467987
200,2,Validation,0.08192820101976395
300,3,Train,0.05868040397763252
300,3,Validation,0.05884220451116562
400,4,Train,0.04619155824184418
400,4,Validation,0.04567595198750496
500,5,Train,0.03826877847313881
500,5,Validation,0.03809496760368347
600,6,Train,0.03373739495873451
600,6,Validation,0.03361201286315918
700,7,Train,0.029842285439372063
700,7,Validation,0.02974274754524231
800,8,Train,0.026487350463867188
800,8,Validation,0.026529250666499138
900,9,Train,0.024366892874240875
900,9,Validation,0.02418155036866665
1000,10,Train,0.022774262353777885
1000,10,Validation,0.022573014721274376
1100,11,Train,0.02179786004126072
1100,11,Validation,0.021380769088864326
1200,12,Train,0.020323147997260094
1200,12,Validation,0.020282700657844543
1300,13,Train,0.019866714254021645
1300,13,Validation,0.019552085548639297
1400,14,Train,0.01921025849878788
1400,14,Validation,0.019345879554748535
1500,15,Train,0.019529512152075768
1500,15,Validation,0.019092770293354988
1600,16,Train,0.019216539338231087
1600,16,Validation,0.018859878182411194
1700,17,Train,0.018632525578141212
1700,17,Validation,0.0186214130371809
1800,18,Train,0.018818575888872147
1800,18,Validation,0.01847391575574875
1900,19,Train,0.018723027780652046
1900,19,Validation,0.01847514510154724
2000,20,Train,0.018427016213536263
2000,20,Validation,0.018301615491509438
2100,21,Train,0.018470056354999542
2100,21,Validation,0.018199125304818153
2200,22,Train,0.018182696774601936
2200,22,Validation,0.018119370564818382
2300,23,Train,0.017752790823578835
2300,23,Validation,0.01793535426259041
2400,24,Train,0.018115775659680367
2400,24,Validation,0.01769125834107399
2500,25,Train,0.017370538786053658
2500,25,Validation,0.01748211495578289
2600,26,Train,0.017352735623717308
2600,26,Validation,0.017355436459183693
2700,27,Train,0.017315978184342384
2700,27,Validation,0.01721608079969883
2800,28,Train,0.017317432910203934
2800,28,Validation,0.017099454998970032
2900,29,Train,0.017226925119757652
2900,29,Validation,0.01692725159227848
3000,30,Train,0.016973460093140602
3000,30,Validation,0.01676061749458313
3100,31,Train,0.0167851485311985
3100,31,Validation,0.01661192812025547
3200,32,Train,0.01663193479180336
3200,32,Validation,0.01639951951801777
3300,33,Train,0.01662588305771351
3300,33,Validation,0.01621176302433014
3400,34,Train,0.016601799055933952
3400,34,Validation,0.016031935811042786
3500,35,Train,0.016087042167782784
3500,35,Validation,0.01592208258807659
3600,36,Train,0.015813948586583138
