iteration,milestone,datasplit,mse
500,1,Train,0.02659718692302704
500,1,Validation,0.026065751910209656
1000,2,Train,0.01829635538160801
1000,2,Validation,0.017940178513526917
1500,3,Train,0.01725826971232891
1500,3,Validation,0.01671452261507511
2000,4,Train,0.01694479025900364
2000,4,Validation,0.01692822389304638
2500,5,Train,0.0167457927018404
2500,5,Validation,0.016951611265540123
3000,6,Train,0.016860803589224815
3000,6,Validation,0.01661304384469986
3500,7,Train,0.01616215892136097
3500,7,Validation,0.01606043614447117
4000,8,Train,0.015636608004570007
4000,8,Validation,0.015457834117114544
4500,9,Train,0.014966492541134357
4500,9,Validation,0.014953510835766792
5000,10,Train,0.014646249823272228
5000,10,Validation,0.014560213312506676
5500,11,Train,0.014387818984687328
5500,11,Validation,0.014278083108365536
6000,12,Train,0.014367835596203804
6000,12,Validation,0.014087345451116562
6500,13,Train,0.014115969650447369
6500,13,Validation,0.014004962518811226
7000,14,Train,0.014139900915324688
7000,14,Validation,0.013945251703262329
7500,15,Train,0.014062401838600636
7500,15,Validation,0.013873075135052204
8000,16,Train,0.0139503488317132
8000,16,Validation,0.01384030282497406
8500,17,Train,0.013883502222597599
8500,17,Validation,0.01381054800003767
9000,18,Train,0.0140947001054883
9000,18,Validation,0.013788264244794846
9500,19,Train,0.014052881859242916
9500,19,Validation,0.01377542782574892
10000,20,Train,0.014072229154407978
10000,20,Validation,0.013768869452178478
10500,21,Train,0.014025110751390457
10500,21,Validation,0.013774272054433823
11000,22,Train,0.013914816081523895
11000,22,Validation,0.013775257393717766
11500,23,Train,0.013909218832850456
11500,23,Validation,0.013783487491309643
12000,24,Train,0.013863100670278072
12000,24,Validation,0.013778677210211754
12500,25,Train,0.014106850139796734
12500,25,Validation,0.013774009421467781
13000,26,Train,0.013827232643961906
13000,26,Validation,0.013772153295576572
13500,27,Train,0.01401647087186575
13500,27,Validation,0.013770662248134613
14000,28,Train,0.014162282459437847
14000,28,Validation,0.013777181506156921
14500,29,Train,0.013824752531945705
14500,29,Validation,0.013777413405478
15000,30,Train,0.014051362872123718
15000,30,Validation,0.013777353800833225
15500,31,Train,0.013845362700521946
15500,31,Validation,0.01378090213984251
16000,32,Train,0.014083790592849255
16000,32,Validation,0.013782004825770855
16500,33,Train,0.013757197186350822
16500,33,Validation,0.013781225308775902
17000,34,Train,0.013619815930724144
17000,34,Validation,0.01378178596496582
17500,35,Train,0.013855689205229282
17500,35,Validation,0.013774853199720383
18000,36,Train,0.014042501337826252
18000,36,Validation,0.013775045983493328
18500,37,Train,0.013987984508275986
18500,37,Validation,0.013779454864561558
19000,38,Train,0.013962807133793831
19000,38,Validation,0.013773946091532707
19500,39,Train,0.013752794824540615
19500,39,Validation,0.013767519034445286
20000,40,Train,0.013974812813103199
20000,40,Validation,0.013768806122243404
20500,41,Train,0.013846402056515217
20500,41,Validation,0.013772617094218731
21000,42,Train,0.013925698585808277
21000,42,Validation,0.01377164013683796
21500,43,Train,0.01369616948068142
21500,43,Validation,0.013781381770968437
22000,44,Train,0.014061953872442245
22000,44,Validation,0.013777332380414009
22500,45,Train,0.0139468964189291
22500,45,Validation,0.013789251446723938
23000,46,Train,0.013777896761894226
23000,46,Validation,0.013786409981548786
23500,47,Train,0.013865466229617596
23500,47,Validation,0.01378593035042286
24000,48,Train,0.01409779954701662
24000,48,Validation,0.013779710046947002
24500,49,Train,0.014164256863296032
24500,49,Validation,0.013769992627203465
25000,50,Train,0.013936514966189861
25000,50,Validation,0.013763880357146263
25500,51,Train,0.014162510633468628
25500,51,Validation,0.013763521797955036
26000,52,Train,0.013901018537580967
26000,52,Validation,0.013765083625912666
26500,53,Train,0.013968072831630707
26500,53,Validation,0.013763045892119408
27000,54,Train,0.013857267796993256
27000,54,Validation,0.013758018612861633
27500,55,Train,0.01387191005051136
27500,55,Validation,0.013763882219791412
28000,56,Train,0.013745109550654888
28000,56,Validation,0.013759895227849483
28500,57,Train,0.013859573751688004
28500,57,Validation,0.013753589242696762
29000,58,Train,0.014170067384839058
29000,58,Validation,0.013749530538916588
29500,59,Train,0.01375341136008501
29500,59,Validation,0.013747374527156353
30000,60,Train,0.013873224146664143
30000,60,Validation,0.01374742854386568
30500,61,Train,0.01387851219624281
30500,61,Validation,0.013751708902418613
31000,62,Train,0.01415426004678011
31000,62,Validation,0.013757236301898956
31500,63,Train,0.013651213608682156
31500,63,Validation,0.01375358272343874
32000,64,Train,0.01374127622693777
32000,64,Validation,0.013753513805568218
32500,65,Train,0.013710775412619114
32500,65,Validation,0.013756068423390388
33000,66,Train,0.014047496020793915
33000,66,Validation,0.01375202089548111
33500,67,Train,0.013809964060783386
33500,67,Validation,0.01374990213662386
34000,68,Train,0.01378453616052866
34000,68,Validation,0.013749264180660248
34500,69,Train,0.013755298219621181
34500,69,Validation,0.013744835741817951
35000,70,Train,0.01392914168536663
35000,70,Validation,0.013749059289693832
35500,71,Train,0.01375065091997385
35500,71,Validation,0.013753004372119904
36000,72,Train,0.013711190782487392
36000,72,Validation,0.013750138692557812
36500,73,Train,0.013788275420665741
36500,73,Validation,0.01374843716621399
37000,74,Train,0.01367280725389719
37000,74,Validation,0.013746356591582298
37500,75,Train,0.013827552087605
37500,75,Validation,0.013747024349868298
38000,76,Train,0.014059417881071568
38000,76,Validation,0.013749133795499802
38500,77,Train,0.013849884271621704
38500,77,Validation,0.013753330335021019
39000,78,Train,0.014237357303500175
39000,78,Validation,0.013766889460384846
39500,79,Train,0.013757226057350636
39500,79,Validation,0.013760900124907494
40000,80,Train,0.013657991774380207
40000,80,Validation,0.013754214160144329
40500,81,Train,0.013818513602018356
40500,81,Validation,0.013759705238044262
41000,82,Train,0.013824510388076305
41000,82,Validation,0.01375624816864729
41500,83,Train,0.013961545191705227
41500,83,Validation,0.01375580858439207
42000,84,Train,0.013958629220724106
42000,84,Validation,0.013749261386692524
42500,85,Train,0.014016310684382915
42500,85,Validation,0.013747138902544975
43000,86,Train,0.013739769347012043
43000,86,Validation,0.01375790499150753
43500,87,Train,0.013898100703954697
43500,87,Validation,0.01375454943627119
44000,88,Train,0.013862480409443378
44000,88,Validation,0.01375065091997385
44500,89,Train,0.013981802389025688
44500,89,Validation,0.013751601800322533
45000,90,Train,0.014032168313860893
45000,90,Validation,0.01374727487564087
45500,91,Train,0.01375266071408987
45500,91,Validation,0.01374884694814682
46000,92,Train,0.013909172266721725
46000,92,Validation,0.0137495007365942
46500,93,Train,0.014085281640291214
46500,93,Validation,0.01376480981707573
47000,94,Train,0.0138247674331069
47000,94,Validation,0.013764995150268078
47500,95,Train,0.013794207014143467
47500,95,Validation,0.013773586601018906
48000,96,Train,0.014002053067088127
48000,96,Validation,0.013771606609225273
48500,97,Train,0.013794963248074055
48500,97,Validation,0.013761501759290695
49000,98,Train,0.014161924831569195
49000,98,Validation,0.01375974714756012
49500,99,Train,0.013738486915826797
49500,99,Validation,0.01376640610396862
50000,100,Train,0.01387864351272583
50000,100,Validation,0.013770472258329391
