iteration,milestone,datasplit,mse
500,1,Train,0.25057560205459595
500,1,Validation,0.2522783875465393
1000,2,Train,0.23741306364536285
1000,2,Validation,0.22964069247245789
1500,3,Train,0.23858174681663513
1500,3,Validation,0.2212364375591278
2000,4,Train,0.22417061030864716
2000,4,Validation,0.2182975560426712
2500,5,Train,0.21359245479106903
2500,5,Validation,0.21703800559043884
3000,6,Train,0.22037047147750854
3000,6,Validation,0.21686510741710663
3500,7,Train,0.220684215426445
3500,7,Validation,0.21721892058849335
4000,8,Train,0.22281283140182495
4000,8,Validation,0.2164495438337326
4500,9,Train,0.22003012895584106
4500,9,Validation,0.21553802490234375
5000,10,Train,0.21642443537712097
5000,10,Validation,0.214346781373024
5500,11,Train,0.2190399169921875
5500,11,Validation,0.2137344777584076
6000,12,Train,0.21904486417770386
6000,12,Validation,0.21269559860229492
6500,13,Train,0.21519766747951508
6500,13,Validation,0.21202100813388824
7000,14,Train,0.21939782798290253
7000,14,Validation,0.21153435111045837
7500,15,Train,0.21203067898750305
7500,15,Validation,0.21124747395515442
8000,16,Train,0.21260106563568115
8000,16,Validation,0.21110767126083374
8500,17,Train,0.21312645077705383
8500,17,Validation,0.21090519428253174
9000,18,Train,0.2182687669992447
9000,18,Validation,0.21057245135307312
9500,19,Train,0.2150486707687378
9500,19,Validation,0.21012040972709656
10000,20,Train,0.2195255607366562
10000,20,Validation,0.2097293585538864
10500,21,Train,0.21676646173000336
10500,21,Validation,0.20958766341209412
11000,22,Train,0.21393008530139923
11000,22,Validation,0.2094402015209198
11500,23,Train,0.21303023397922516
11500,23,Validation,0.20938529074192047
12000,24,Train,0.21657761931419373
12000,24,Validation,0.20938514173030853
12500,25,Train,0.21652095019817352
12500,25,Validation,0.20942704379558563
13000,26,Train,0.2110501080751419
13000,26,Validation,0.20947550237178802
13500,27,Train,0.21675384044647217
13500,27,Validation,0.2096104472875595
14000,28,Train,0.22341841459274292
14000,28,Validation,0.20968341827392578
14500,29,Train,0.21330268681049347
14500,29,Validation,0.20971505343914032
15000,30,Train,0.21466366946697235
15000,30,Validation,0.2096908539533615
15500,31,Train,0.2124623954296112
15500,31,Validation,0.20960628986358643
16000,32,Train,0.21762515604496002
16000,32,Validation,0.20953787863254547
16500,33,Train,0.2107113003730774
16500,33,Validation,0.2094554901123047
17000,34,Train,0.2063828557729721
17000,34,Validation,0.2093801200389862
17500,35,Train,0.2118004411458969
17500,35,Validation,0.20926012098789215
18000,36,Train,0.21606966853141785
18000,36,Validation,0.20920409262180328
18500,37,Train,0.2143564373254776
18500,37,Validation,0.20914065837860107
19000,38,Train,0.21373724937438965
19000,38,Validation,0.20913943648338318
19500,39,Train,0.21098168194293976
19500,39,Validation,0.20917248725891113
20000,40,Train,0.21342319250106812
20000,40,Validation,0.2091253697872162
20500,41,Train,0.21404314041137695
20500,41,Validation,0.20918866991996765
21000,42,Train,0.21241623163223267
21000,42,Validation,0.20921814441680908
21500,43,Train,0.20674555003643036
21500,43,Validation,0.20920303463935852
22000,44,Train,0.22076599299907684
22000,44,Validation,0.20932218432426453
22500,45,Train,0.2179592400789261
22500,45,Validation,0.2093529999256134
23000,46,Train,0.20870791375637054
23000,46,Validation,0.20926640927791595
23500,47,Train,0.21303588151931763
23500,47,Validation,0.20957458019256592
24000,48,Train,0.21631751954555511
24000,48,Validation,0.20964859426021576
24500,49,Train,0.2207850068807602
24500,49,Validation,0.20974235236644745
25000,50,Train,0.21803361177444458
25000,50,Validation,0.2099294364452362
25500,51,Train,0.22148200869560242
25500,51,Validation,0.21044012904167175
26000,52,Train,0.21109148859977722
26000,52,Validation,0.2110346108675003
26500,53,Train,0.21537992358207703
26500,53,Validation,0.21143536269664764
27000,54,Train,0.2114654928445816
27000,54,Validation,0.21207942068576813
27500,55,Train,0.2185123711824417
27500,55,Validation,0.21307982504367828
28000,56,Train,0.21200591325759888
28000,56,Validation,0.21362853050231934
28500,57,Train,0.2179558128118515
