iteration,milestone,datasplit,mse
500,1,Train,0.03494838997721672
500,1,Validation,0.03522550314664841
1000,2,Train,0.021371450275182724
1000,2,Validation,0.021197572350502014
1500,3,Train,0.019349250942468643
1500,3,Validation,0.018825817853212357
2000,4,Train,0.018559705466032028
2000,4,Validation,0.018450383096933365
2500,5,Train,0.017899824306368828
2500,5,Validation,0.01799849234521389
3000,6,Train,0.01741957664489746
3000,6,Validation,0.017294248566031456
3500,7,Train,0.016655532643198967
3500,7,Validation,0.01654391549527645
4000,8,Train,0.016074225306510925
4000,8,Validation,0.015860039740800858
4500,9,Train,0.015328501351177692
4500,9,Validation,0.015306336805224419
5000,10,Train,0.01495752390474081
5000,10,Validation,0.014853686094284058
5500,11,Train,0.014567161910235882
5500,11,Validation,0.014475278556346893
6000,12,Train,0.014573360793292522
6000,12,Validation,0.014241909608244896
6500,13,Train,0.01415090449154377
6500,13,Validation,0.014076175168156624
7000,14,Train,0.01411139965057373
7000,14,Validation,0.013940189965069294
7500,15,Train,0.014044610783457756
7500,15,Validation,0.013876957818865776
8000,16,Train,0.013881407678127289
8000,16,Validation,0.013774638064205647
8500,17,Train,0.013849698007106781
8500,17,Validation,0.013744090683758259
9000,18,Train,0.014015275053679943
9000,18,Validation,0.013713108375668526
9500,19,Train,0.01397267822176218
9500,19,Validation,0.013673588633537292
10000,20,Train,0.013935831375420094
10000,20,Validation,0.013659416697919369
10500,21,Train,0.013919745571911335
10500,21,Validation,0.01365188229829073
11000,22,Train,0.013779893517494202
11000,22,Validation,0.01364287082105875
11500,23,Train,0.013769520446658134
11500,23,Validation,0.013634744100272655
12000,24,Train,0.01367986761033535
12000,24,Validation,0.013644812628626823
12500,25,Train,0.013970870524644852
12500,25,Validation,0.013653583824634552
13000,26,Train,0.013701519928872585
13000,26,Validation,0.01366132777184248
13500,27,Train,0.0138799287378788
13500,27,Validation,0.013658490031957626
14000,28,Train,0.014018007554113865
14000,28,Validation,0.01364714466035366
14500,29,Train,0.013744265772402287
14500,29,Validation,0.013680257834494114
15000,30,Train,0.0139335747808218
15000,30,Validation,0.013663818128407001
15500,31,Train,0.013745903968811035
15500,31,Validation,0.013647367246448994
16000,32,Train,0.013935551047325134
16000,32,Validation,0.01365126483142376
16500,33,Train,0.01360082346946001
16500,33,Validation,0.013640280812978745
17000,34,Train,0.01349808182567358
17000,34,Validation,0.013641603291034698
17500,35,Train,0.01368357241153717
17500,35,Validation,0.013625497929751873
18000,36,Train,0.013894124887883663
18000,36,Validation,0.013638983480632305
18500,37,Train,0.013827253133058548
18500,37,Validation,0.013646054081618786
19000,38,Train,0.013820459134876728
19000,38,Validation,0.013638203963637352
19500,39,Train,0.013608202338218689
19500,39,Validation,0.013620643876492977
20000,40,Train,0.013826820999383926
20000,40,Validation,0.01362974289804697
20500,41,Train,0.013660798780620098
20500,41,Validation,0.01360805332660675
21000,42,Train,0.013769290409982204
21000,42,Validation,0.013595076277852058
21500,43,Train,0.013537128455936909
21500,43,Validation,0.013608369044959545
22000,44,Train,0.01384592242538929
22000,44,Validation,0.013588210567831993
22500,45,Train,0.013765641488134861
22500,45,Validation,0.01360449381172657
23000,46,Train,0.013596517965197563
23000,46,Validation,0.013603655621409416
23500,47,Train,0.013710979372262955
23500,47,Validation,0.01361064799129963
24000,48,Train,0.01388887595385313
24000,48,Validation,0.01359946932643652
24500,49,Train,0.013997241854667664
24500,49,Validation,0.013614504598081112
25000,50,Train,0.0137716643512249
25000,50,Validation,0.013604232110083103
25500,51,Train,0.013978834263980389
25500,51,Validation,0.013602505438029766
26000,52,Train,0.013706225901842117
26000,52,Validation,0.013584627769887447
