iteration,milestone,datasplit,accuracy,consistency,board_accuracy
500,1,Validation,0.1151099865436554,0.0,0.001580246925354004
1000,2,Validation,0.11951207935810089,0.0,0.013432098865509032
1500,3,Validation,0.12038377010822296,0.0,0.022913580417633056
2000,4,Validation,0.12049475836753845,0.0,0.022123456954956055
2500,5,Validation,0.12073756432533264,0.0,0.02054321002960205
3000,6,Validation,0.1204487292766571,0.0,0.02340740758180618
3500,7,Validation,0.12067090344429016,0.0,0.03575308668613434
4000,8,Validation,0.12100461411476135,0.0,0.06380247056484223
4500,9,Validation,0.12163176262378693,0.0,0.22222222816944123
5000,10,Validation,0.12210232412815095,0.0,0.39200001072883606
5500,11,Validation,0.1238437682390213,0.128,0.5089382750988006
6000,12,Validation,0.12451440823078155,0.424,0.6942222242355347
6500,13,Validation,0.12485004961490631,0.616,0.8482962989807129
7000,14,Validation,0.12558777964115142,0.744,0.8909629650115967
7500,15,Validation,0.12558777964115142,0.744,0.8909629650115967
8000,16,Validation,0.1253203226327896,0.936,0.9668148155212403
8500,17,Validation,0.1253871284723282,1.0,1.0
9000,18,Validation,0.12540948736667634,0.96,0.9896296310424805
9500,19,Validation,0.12540948736667634,0.96,0.9896296310424805
10000,20,Validation,0.1253871284723282,1.0,1.0
10500,21,Validation,0.1253871284723282,1.0,1.0
11000,22,Validation,0.1253871284723282,1.0,1.0
11500,23,Validation,0.1253871284723282,1.0,1.0
12000,24,Validation,0.1253871284723282,1.0,1.0
12500,25,Validation,0.1253871284723282,1.0,1.0
13000,26,Validation,0.1253871284723282,1.0,1.0
13500,27,Validation,0.1253871284723282,1.0,1.0
14000,28,Validation,0.1253871284723282,1.0,1.0
14500,29,Validation,0.12527533400058746,0.96,0.9896296310424805
15000,30,Validation,0.1253871284723282,1.0,1.0
15500,31,Validation,0.1253871284723282,1.0,1.0
16000,32,Validation,0.1253871284723282,1.0,1.0
16500,33,Validation,0.1253871284723282,1.0,1.0
17000,34,Validation,0.1253871284723282,1.0,1.0
17500,35,Validation,0.1253871284723282,1.0,1.0
18000,36,Validation,0.1253871284723282,1.0,1.0
18500,37,Validation,0.1253871284723282,1.0,1.0
19000,38,Validation,0.1253871284723282,1.0,1.0
19500,39,Validation,0.1253871284723282,1.0,1.0
20000,40,Validation,0.1253871284723282,1.0,1.0
20500,41,Validation,0.1253871284723282,1.0,1.0
21000,42,Validation,0.1253871284723282,1.0,1.0
21500,43,Validation,0.1253871284723282,1.0,1.0
22000,44,Validation,0.1253871284723282,1.0,1.0
22500,45,Validation,0.1253871284723282,1.0,1.0
23000,46,Validation,0.1253871284723282,1.0,1.0
23500,47,Validation,0.1253871284723282,1.0,1.0
24000,48,Validation,0.1253871284723282,1.0,1.0
24500,49,Validation,0.1253871284723282,1.0,1.0
25000,50,Validation,0.1253871284723282,1.0,1.0
25500,51,Validation,0.1253871284723282,1.0,1.0
26000,52,Validation,0.1253871284723282,1.0,1.0
26500,53,Validation,0.1253871284723282,1.0,1.0
27000,54,Validation,0.1253871284723282,1.0,1.0
27500,55,Validation,0.1253871284723282,1.0,1.0
28000,56,Validation,0.1253871284723282,1.0,1.0
28500,57,Validation,0.1253871284723282,1.0,1.0
29000,58,Validation,0.1253871284723282,1.0,1.0
29500,59,Validation,0.1253871284723282,1.0,1.0
30000,60,Validation,0.1253871284723282,1.0,1.0
30500,61,Validation,0.1253871284723282,1.0,1.0
31000,62,Validation,0.1253871284723282,1.0,1.0
31500,63,Validation,0.1253871284723282,1.0,1.0
32000,64,Validation,0.1253871284723282,1.0,1.0
32500,65,Validation,0.1253871284723282,1.0,1.0
33000,66,Validation,0.1253871284723282,1.0,1.0
33500,67,Validation,0.1253871284723282,1.0,1.0
34000,68,Validation,0.1253871284723282,1.0,1.0
34500,69,Validation,0.1253871284723282,1.0,1.0
35000,70,Validation,0.1253871284723282,1.0,1.0
35500,71,Validation,0.1253871284723282,1.0,1.0
36000,72,Validation,0.1253871284723282,1.0,1.0
36500,73,Validation,0.1253871284723282,1.0,1.0
37000,74,Validation,0.1253871284723282,1.0,1.0
37500,75,Validation,0.1253871284723282,1.0,1.0
38000,76,Validation,0.1253871284723282,1.0,1.0
38500,77,Validation,0.1253871284723282,1.0,1.0
39000,78,Validation,0.1253871284723282,1.0,1.0
39500,79,Validation,0.1253871284723282,1.0,1.0
40000,80,Validation,0.1253871284723282,1.0,1.0
40500,81,Validation,0.1253871284723282,1.0,1.0
41000,82,Validation,0.1253871284723282,1.0,1.0
41500,83,Validation,0.1253871284723282,1.0,1.0
42000,84,Validation,0.1253871284723282,1.0,1.0
42500,85,Validation,0.1253871284723282,1.0,1.0
43000,86,Validation,0.1253871284723282,1.0,1.0
43500,87,Validation,0.1253871284723282,1.0,1.0
44000,88,Validation,0.1253871284723282,1.0,1.0
44500,89,Validation,0.1253871284723282,1.0,1.0
45000,90,Validation,0.1253871284723282,1.0,1.0
45500,91,Validation,0.1253871284723282,1.0,1.0
46000,92,Validation,0.1253871284723282,1.0,1.0
46500,93,Validation,0.1253871284723282,1.0,1.0
47000,94,Validation,0.1253871284723282,1.0,1.0
47500,95,Validation,0.1253871284723282,1.0,1.0
48000,96,Validation,0.1253871284723282,1.0,1.0
48500,97,Validation,0.1253871284723282,1.0,1.0
49000,98,Validation,0.1253871284723282,1.0,1.0
49500,99,Validation,0.1253871284723282,1.0,1.0
50000,100,Validation,0.1253871284723282,1.0,1.0
