iteration,milestone,datasplit,mse
500,1,Train,0.02276737242937088
500,1,Validation,0.022898344323039055
1000,2,Train,0.017043422907590866
1000,2,Validation,0.016845203936100006
1500,3,Train,0.015993556007742882
1500,3,Validation,0.015532003715634346
2000,4,Train,0.015134377405047417
2000,4,Validation,0.01509283296763897
2500,5,Train,0.014848127961158752
2500,5,Validation,0.014995520003139973
3000,6,Train,0.014952460303902626
3000,6,Validation,0.014790397137403488
3500,7,Train,0.014825987629592419
3500,7,Validation,0.014657309278845787
4000,8,Train,0.0145854027941823
4000,8,Validation,0.014449800364673138
4500,9,Train,0.014529797248542309
4500,9,Validation,0.014492812566459179
5000,10,Train,0.014619316905736923
5000,10,Validation,0.014532213099300861
5500,11,Train,0.014764530584216118
5500,11,Validation,0.014626034535467625
6000,12,Train,0.01486755721271038
6000,12,Validation,0.014626034535467625
6500,13,Train,0.014664226211607456
6500,13,Validation,0.014557497575879097
7000,14,Train,0.01471676304936409
7000,14,Validation,0.014540739357471466
7500,15,Train,0.014681827276945114
7500,15,Validation,0.014513690955936909
8000,16,Train,0.014719465747475624
8000,16,Validation,0.014634440653026104
8500,17,Train,0.01463780365884304
8500,17,Validation,0.01458828430622816
9000,18,Train,0.01480218954384327
9000,18,Validation,0.014551475644111633
9500,19,Train,0.014769812114536762
9500,19,Validation,0.01453978382050991
10000,20,Train,0.014779348857700825
10000,20,Validation,0.01452554389834404
10500,21,Train,0.01481037586927414
10500,21,Validation,0.014605571515858173
11000,22,Train,0.014713672921061516
11000,22,Validation,0.014583032578229904
11500,23,Train,0.014521820470690727
11500,23,Validation,0.01442954782396555
12000,24,Train,0.014519891701638699
12000,24,Validation,0.014440993778407574
12500,25,Train,0.014595014974474907
12500,25,Validation,0.014305636286735535
13000,26,Train,0.014439456164836884
13000,26,Validation,0.01439624559134245
13500,27,Train,0.014884661883115768
13500,27,Validation,0.014680661261081696
14000,28,Train,0.01511253323405981
14000,28,Validation,0.014778017066419125
14500,29,Train,0.014751803129911423
14500,29,Validation,0.01469854824244976
15000,30,Train,0.014924688264727592
15000,30,Validation,0.014711576513946056
15500,31,Train,0.014951075427234173
15500,31,Validation,0.01490483433008194
16000,32,Train,0.015282005071640015
16000,32,Validation,0.015049527399241924
16500,33,Train,0.015018157660961151
16500,33,Validation,0.015044155530631542
17000,34,Train,0.014848503284156322
17000,34,Validation,0.014985199086368084
17500,35,Train,0.014897603541612625
17500,35,Validation,0.014825910329818726
18000,36,Train,0.01517995074391365
18000,36,Validation,0.014938680455088615
18500,37,Train,0.014963111840188503
18500,37,Validation,0.014782948419451714
19000,38,Train,0.014849190600216389
19000,38,Validation,0.0146921556442976
19500,39,Train,0.014655275270342827
19500,39,Validation,0.014656462706625462
20000,40,Train,0.014829504303634167
20000,40,Validation,0.014668389223515987
20500,41,Train,0.014673554338514805
20500,41,Validation,0.014596983790397644
21000,42,Train,0.01470053382217884
21000,42,Validation,0.014561002142727375
21500,43,Train,0.014467231929302216
21500,43,Validation,0.014543930999934673
22000,44,Train,0.014872746542096138
22000,44,Validation,0.014630003832280636
22500,45,Train,0.01481394749134779
22500,45,Validation,0.014668400399386883
23000,46,Train,0.014544804580509663
23000,46,Validation,0.014557039365172386
23500,47,Train,0.014570641331374645
23500,47,Validation,0.014499424956738949
24000,48,Train,0.014798457734286785
24000,48,Validation,0.014529146254062653
24500,49,Train,0.014963611960411072
24500,49,Validation,0.014633283019065857
25000,50,Train,0.014839796349406242
25000,50,Validation,0.014660712331533432
25500,51,Train,0.01500497106462717
25500,51,Validation,0.014655265025794506
26000,52,Train,0.014834223315119743
26000,52,Validation,0.014736195094883442
26500,53,Train,0.014869618229568005
26500,53,Validation,0.014700569212436676
27000,54,Train,0.01471765711903572
27000,54,Validation,0.01465622428804636
27500,55,Train,0.01486111618578434
27500,55,Validation,0.014765704981982708
28000,56,Train,0.01475309208035469
28000,56,Validation,0.014747746288776398
28500,57,Train,0.01482290681451559
28500,57,Validation,0.014747180975973606
29000,58,Train,0.015184369869530201
29000,58,Validation,0.014822112396359444
29500,59,Train,0.014844006858766079
29500,59,Validation,0.014828057959675789
30000,60,Train,0.015001215972006321
30000,60,Validation,0.014914976432919502
30500,61,Train,0.015158280730247498
30500,61,Validation,0.015056605450809002
500,1,Train,0.021624740213155746
500,1,Validation,0.02159092016518116
1000,2,Train,0.017319127917289734
1000,2,Validation,0.0171044934540987
1500,3,Train,0.01609034463763237
1500,3,Validation,0.015527771785855293
2000,4,Train,0.0153493732213974
2000,4,Validation,0.015210231766104698
2500,5,Train,0.014961441047489643
2500,5,Validation,0.015085269697010517
3000,6,Train,0.01498216949403286
3000,6,Validation,0.014794264920055866
3500,7,Train,0.01484990306198597
3500,7,Validation,0.014658276923000813
4000,8,Train,0.014725043438374996
4000,8,Validation,0.014572303742170334
4500,9,Train,0.014681539498269558
4500,9,Validation,0.014644443057477474
5000,10,Train,0.014692490920424461
5000,10,Validation,0.014645155519247055
5500,11,Train,0.014887571334838867
5500,11,Validation,0.014743678271770477
6000,12,Train,0.015086903236806393
6000,12,Validation,0.014829939231276512
6500,13,Train,0.014948704279959202
6500,13,Validation,0.014847254380583763
7000,14,Train,0.0151223074644804
7000,14,Validation,0.014956574887037277
7500,15,Train,0.015218522399663925
7500,15,Validation,0.015081822872161865
8000,16,Train,0.015148632228374481
8000,16,Validation,0.015058537013828754
8500,17,Train,0.014935119077563286
8500,17,Validation,0.01488920021802187
9000,18,Train,0.015139535069465637
9000,18,Validation,0.014882372692227364
9500,19,Train,0.015087198466062546
9500,19,Validation,0.014870194718241692
10000,20,Train,0.015161307528614998
10000,20,Validation,0.014918887056410313
10500,21,Train,0.014961042441427708
